Algoritmo 1
Makespan=225, Balanceamento= 94  
Makespan=41, Balanceamento= 28  
Makespan=40, Balanceamento= 27  
Makespan=38, Balanceamento= 28  
Makespan=33, Balanceamento= 24  
Makespan=29, Balanceamento= 20  
Makespan=30, Balanceamento= 21  
Makespan=25, Balanceamento= 16  
Makespan=25, Balanceamento= 17  
Makespan=24, Balanceamento= 14  
Makespan=35, Balanceamento= 25  
Makespan=28, Balanceamento= 18  
Makespan=31, Balanceamento= 23  
Makespan=29, Balanceamento= 19  
Makespan=34, Balanceamento= 25  
Makespan=25, Balanceamento= 17  
Makespan=28, Balanceamento= 17  
Makespan=36, Balanceamento= 29  
Makespan=24, Balanceamento= 17  
Makespan=25, Balanceamento= 16  
Makespan=30, Balanceamento= 22  
Makespan=39, Balanceamento= 31  
Makespan=20, Balanceamento= 12  
Makespan=22, Balanceamento= 13  
Makespan=29, Balanceamento= 21  
Makespan=36, Balanceamento= 30  
Makespan=30, Balanceamento= 21  
Makespan=17, Balanceamento= 10  
Makespan=15, Balanceamento= 8  
Makespan=20, Balanceamento= 13  
Makespan=22, Balanceamento= 14  
Makespan=18, Balanceamento= 10  
Makespan=14, Balanceamento= 8  
Makespan=14, Balanceamento= 8  
Makespan=17, Balanceamento= 11  
Makespan=17, Balanceamento= 9  
Makespan=26, Balanceamento= 19  
Makespan=22, Balanceamento= 14  
Makespan=24, Balanceamento= 18  
Makespan=23, Balanceamento= 17  
Makespan=28, Balanceamento= 21  
Makespan=17, Balanceamento= 10  
Makespan=26, Balanceamento= 19  
Makespan=16, Balanceamento= 11  
Makespan=20, Balanceamento= 15  
Makespan=14, Balanceamento= 9  
Makespan=34, Balanceamento= 27  
Makespan=20, Balanceamento= 14  
Makespan=16, Balanceamento= 10  
Makespan=25, Balanceamento= 20  
Makespan=23, Balanceamento= 17  
Makespan=22, Balanceamento= 16  
Makespan=16, Balanceamento= 11  
Makespan=26, Balanceamento= 21  
Makespan=17, Balanceamento= 12  
Makespan=20, Balanceamento= 14  
Makespan=20, Balanceamento= 15  
Makespan=23, Balanceamento= 18  
Makespan=15, Balanceamento= 9  
Makespan=16, Balanceamento= 11  
Makespan=14, Balanceamento= 9  
Makespan=25, Balanceamento= 19  
Makespan=13, Balanceamento= 8  
Makespan=17, Balanceamento= 10  
