
Algoritmo 1
Dados(TempoDeExecSimula=415,6, temposDeAlocacao=[156])
Dados(TempoDeExecSimula=120,6, temposDeAlocacao=[56])
Dados(TempoDeExecSimula=208, temposDeAlocacao=[92])
Dados(TempoDeExecSimula=116, temposDeAlocacao=[44])
Dados(TempoDeExecSimula=88,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=92,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=116, temposDeAlocacao=[20])
Dados(TempoDeExecSimula=108, temposDeAlocacao=[40])
Dados(TempoDeExecSimula=104, temposDeAlocacao=[28])
Dados(TempoDeExecSimula=132, temposDeAlocacao=[36])
Dados(TempoDeExecSimula=140, temposDeAlocacao=[36])
Dados(TempoDeExecSimula=124, temposDeAlocacao=[36])
Dados(TempoDeExecSimula=136, temposDeAlocacao=[36])
Dados(TempoDeExecSimula=196, temposDeAlocacao=[48])
Dados(TempoDeExecSimula=132, temposDeAlocacao=[40])
Dados(TempoDeExecSimula=96,  temposDeAlocacao=[24])
Dados(TempoDeExecSimula=64,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=60,  temposDeAlocacao=[24])
Dados(TempoDeExecSimula=60,  temposDeAlocacao=[16])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[16])
Dados(TempoDeExecSimula=44,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=68,  temposDeAlocacao=[16])
Dados(TempoDeExecSimula=52,  temposDeAlocacao=[24])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=44,  temposDeAlocacao=[12])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[16])
Dados(TempoDeExecSimula=52,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=64,  temposDeAlocacao=[28])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[24])
Dados(TempoDeExecSimula=40,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=44,  temposDeAlocacao=[16])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[12])
Dados(TempoDeExecSimula=52,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=64,  temposDeAlocacao=[24])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[28])
Dados(TempoDeExecSimula=44,  temposDeAlocacao=[24])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[12])
Dados(TempoDeExecSimula=60,  temposDeAlocacao=[12])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[16])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[12])
Dados(TempoDeExecSimula=40,  temposDeAlocacao=[16])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[24])
Dados(TempoDeExecSimula=40,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=56,  temposDeAlocacao=[24])
Dados(TempoDeExecSimula=36,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=36,  temposDeAlocacao=[12])
Dados(TempoDeExecSimula=44,  temposDeAlocacao=[16])
Dados(TempoDeExecSimula=36,  temposDeAlocacao=[16])
Dados(TempoDeExecSimula=36,  temposDeAlocacao=[28])
Dados(TempoDeExecSimula=40,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=40,  temposDeAlocacao=[20])
